"STATION","DATE","REPORT_TYPE","SOURCE","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyRelativeHumidity","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindSpeed"
"USW00023055","2015-01-25T00:00:00","SOD",,,,,,,,
"USW00023055","2015-01-25T01:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T02:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T03:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T04:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T05:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T06:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T07:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T08:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T09:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T10:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T11:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T12:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T13:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T14:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T15:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T16:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T17:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T18:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T19:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T20:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T21:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T22:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-25T23:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T00:00:00","SOD",,,,,,,,
"USW00023055","2015-01-26T00:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T01:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T02:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T03:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T04:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T05:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T06:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T07:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T08:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T09:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T10:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T11:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T12:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T13:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T14:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T15:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T16:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T17:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T18:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T19:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T20:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T21:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T22:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-26T23:51:00","FM-15","343",,,"0.00",,,,
"USW00023055","2015-01-27T00:00:00","SOD",,,,,,,,
"USW00023055","2015-01-27T00:51:00",,,,,,,,,
"USW00023055","2015-01-27T01:51:00",,,,,,,,,
"USW00023055","2015-01-27T02:51:00",,,,,,,,,
"USW00023055","2015-01-27T03:51:00",,,,,,,,,
"USW00023055","2015-01-27T04:51:00",,,,,,,,,
"USW00023055","2015-01-27T05:51:00",,,,,,,,,
"USW00023055","2015-01-27T06:51:00",,,,,,,,,
"USW00023055","2015-01-27T07:51:00",,,,,,,,,
"USW00023055","2015-01-27T08:51:00",,,,,,,,,
"USW00023055","2015-01-27T09:51:00",,,,,,,,,
"USW00023055","2015-01-27T10:51:00",,,,,,,,,
"USW00023055","2015-01-27T11:51:00",,,,,,,,,
"USW00023055","2015-01-27T12:51:00","FM-15","343","28","59","0.00","31.0","44","230.0","14"
"USW00023055","2015-01-27T13:51:00","FM-15","343","28","65","0.00","25.0","47","250.0","21"
"USW00023055","2015-01-27T14:51:00","FM-15","343","32","65","0.00","29.0","48","240.0","23"
"USW00023055","2015-01-27T15:51:00","FM-15","343","34","65","0.00","32.0","49","240.0","23"
"USW00023055","2015-01-27T16:51:00","FM-15","343","39","64","0.00","40.0","51","240.0","21"
"USW00023055","2015-01-27T17:51:00","FM-15","343","39","62","0.00","43.0","50","240.0","15"
"USW00023055","2015-01-27T18:51:00","FM-15","343","39","57","0.00","51.0","48","250.0","13"
"USW00023055","2015-01-27T19:51:00","FM-15","343","39","56","0.00","53.0","47","250.0","13"
"USW00023055","2015-01-27T20:51:00","FM-15","343","39","55","0.00","55.0","47","240.0","10"
"USW00023055","2015-01-27T21:51:00","FM-15","343","38","54","0.00","55.0","46","220.0","9"
"USW00023055","2015-01-27T22:51:00","FM-15","343","39","54","0.00","57.0","46","220.0","9"
"USW00023055","2015-01-27T23:51:00","FM-15","343","39","54","0.00","57.0","46","220.0","10"
"USW00023055","2015-01-28T00:00:00","SOD",,,,,,,,
"USW00023055","2015-01-28T00:51:00","FM-15","343","39","50","0.00","66.0","44","230.0","10"
"USW00023055","2015-01-28T01:51:00","FM-15","343","39","50","0.00","66.0","44","240.0","13"
"USW00023055","2015-01-28T02:51:00","FM-15","343","38","51","0.00","61.0","45","250.0","11"
"USW00023055","2015-01-28T03:51:00","FM-15","343","38","47","0.00","71.0","43","220.0","11"
