"STATION","DATE","REPORT_TYPE","SOURCE","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyRelativeHumidity","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindSpeed"
"USW00053963","2005-08-17T08:45:00","FM-15","343","73","81",,"79.0","75","200.0","6"
"USW00053963","2005-08-17T09:45:00","FM-15","343","73","84",,"70.0","76","230.0","7"
"USW00053963","2005-08-17T10:45:00","FM-15","343","73","88",,"62.0","77","220.0","5"
"USW00053963","2005-08-17T11:45:00","FM-15","343","73","90",,"59.0","78","190.0","5"
"USW00053963","2005-08-17T12:45:00","FM-15","343","72","90",,"55.0","77","200.0","7"
"USW00053963","2005-08-17T13:45:00","FM-15","343","72","91",,"52.0","78","160.0","8"
"USW00053963","2005-08-17T14:45:00","FM-15","343","72","95",,"47.0","79","170.0","5"
"USW00053963","2005-08-17T15:45:00","FM-15","343","70","95",,"44.0","77","230.0","8"
"USW00053963","2005-08-17T16:45:00","FM-15","343","68","93",,"44.0","76",,"0"
"USW00053963","2005-08-17T17:45:00","FM-15","343","70","91",,"49.0","76",,"0"
"USW00053963","2005-08-17T18:45:00","FM-15","343","70","90",,"52.0","76","170.0","3"
"USW00053963","2005-08-17T19:45:00","FM-15","343","70","86",,"59.0","75",,"0"
"USW00053963","2005-08-17T20:45:00","FM-15","343","70","82",,"66.0","74",,"0"
"USW00053963","2005-08-17T21:45:00","FM-15","343","70","82",,"66.0","74",,"0"
"USW00053963","2005-08-17T22:45:00","FM-15","343","70","81",,"70.0","74","190.0","3"
"USW00053963","2005-08-17T23:45:00","FM-15","343","70","81",,"70.0","74","190.0","3"
"USW00053963","2005-08-18T00:45:00","FM-15","343","70","79",,"74.0","73",,"0"
"USW00053963","2005-08-18T01:45:00","FM-15","343","70","77",,"79.0","72","190.0","3"
"USW00053963","2005-08-18T02:45:00","FM-15","343","70","77",,"79.0","72","190.0","3"
"USW00053963","2005-08-18T03:45:00","FM-15","343","70","75",,"83.0","72",,"0"
"USW00053963","2005-08-18T04:45:00","FM-15","343","70","73",,"89.0","71","180.0","3"
"USW00053963","2005-08-18T05:45:00","FM-15","343","70","73",,"89.0","71","170.0","3"
"USW00053963","2005-08-18T06:45:00","FM-15","343","72","77",,"83.0","74","210.0","3"
"USW00053963","2005-08-18T07:45:00","FM-15","343","72","79",,"79.0","74","220.0","5"
"USW00053963","2005-08-18T08:45:00","FM-15","343","72","82",,"70.0","75","210.0","6"
"USW00053963","2005-08-18T09:45:00","FM-15","343","70","86",,"59.0","75","200.0","7"
"USW00053963","2005-08-18T10:45:00","FM-15","343","72","90",,"55.0","77","200.0","6"
"USW00053963","2005-08-18T11:45:00","FM-15","343","70","91",,"49.0","76","VRB","9"
"USW00053963","2005-08-18T13:25:00","FM-15","343","70","95",,"44.0","77","190.0","5"
"USW00053963","2005-08-18T14:45:00","FM-15","343","70","95",,"44.0","77","160.0","7"
"USW00053963","2005-08-18T15:45:00","FM-15","343","68","97",,"39.0","77","160.0","10"
"USW00053963","2005-08-18T16:45:00","FM-15","343","68","97",,"39.0","77","180.0","5"
"USW00053963","2005-08-18T17:45:00","FM-15","343","66","95",,"39.0","75","190.0","7"
"USW00053963","2005-08-18T18:45:00","FM-15","343","68","90",,"49.0","75","180.0","3"
"USW00053963","2005-08-18T19:45:00","FM-15","343","68","86",,"55.0","74",,"0"
"USW00053963","2005-08-18T20:45:00","FM-15","343","68","84",,"58.0","73","170.0","5"
"USW00053963","2005-08-18T21:45:00","FM-15","343","70","82",,"66.0","74","170.0","3"
"USW00053963","2005-08-18T22:45:00","FM-15","343","70","81",,"70.0","74",,"0"
"USW00053963","2005-08-18T23:45:00","FM-15","343","70","79",,"74.0","73","170.0","3"
"USW00053963","2005-08-19T00:45:00","FM-15","343","70","79",,"74.0","73",,"0"
"USW00053963","2005-08-19T01:45:00","FM-15","343","70","77",,"79.0","72","170.0","3"
"USW00053963","2005-08-19T02:45:00","FM-15","343","70","77",,"79.0","72",,"0"
"USW00053963","2005-08-19T03:45:00","FM-15","343","72","75",,"89.0","73","170.0","3"
"USW00053963","2005-08-19T04:45:00","FM-15","343","72","75",,"89.0","73","160.0","3"
"USW00053963","2005-08-19T05:45:00","FM-15","343","72","73",,"94.0","72","150.0","3"
"USW00053963","2005-08-19T06:45:00","FM-15","343","72","75",,"89.0","73","150.0","5"
"USW00053963","2005-08-19T07:45:00","FM-15","343","73","79",,"84.0","75","180.0","6"
"USW00053963","2005-08-19T08:45:00","FM-15","343","73","82",,"74.0","76","VRB","8"
"USW00053963","2005-08-19T09:45:00","FM-15","343","73","86",,"66.0","77","210.0","6"
"USW00053963","2005-08-19T10:45:00","FM-15","343","72","90",,"55.0","77","220.0","5"
"USW00053963","2005-08-19T11:45:00","FM-15","343","72","91",,"52.0","78","220.0","6"
"USW00053963","2005-08-19T12:45:00","FM-15","343","70","93",,"47.0","77","230.0","6"
"USW00053963","2005-08-19T13:45:00","FM-15","343","68","95",,"41.0","76","230.0","3"
"USW00053963","2005-08-19T14:45:00","FM-15","343","70","95",,"44.0","77","150.0","10"
"USW00053963","2005-08-19T15:45:00","FM-15","343","68","97",,"39.0","77","240.0","6"
"USW00053963","2005-08-19T16:45:00","FM-15","343","68","97",,"39.0","77","160.0","8"
"USW00053963","2005-08-19T17:45:00","FM-15","343","64","95",,"36.0","74","210.0","7"
"USW00053963","2005-08-19T18:45:00","FM-15","343","68","90",,"49.0","75","200.0","3"
"USW00053963","2005-08-19T19:45:00","FM-15","343","68","88",,"52.0","74","170.0","3"
"USW00053963","2005-08-19T20:45:00","FM-15","343","68","84",,"58.0","73",,"0"
"USW00053963","2005-08-19T21:45:00","FM-15","343","68","82",,"62.0","73",,"0"
"USW00053963","2005-08-19T22:45:00","FM-15","343","68","81",,"66.0","72","150.0","3"
"USW00053963","2005-08-19T23:45:00","FM-15","343","68","79",,"70.0","72",,"0"
"USW00053963","2005-08-20T00:26:00","FM-15","343","68","77",,"74.0","71",,"0"
"USW00053963","2005-08-20T01:45:00","FM-15","343","68","73",,"83.0","70",,"0"
"USW00053963","2005-08-20T02:45:00","FM-15","343","70","75",,"83.0","72",,"0"
"USW00053963","2005-08-20T03:45:00","FM-15","343","70","75",,"83.0","72",,"0"
"USW00053963","2005-08-20T04:45:00","FM-15","343","70","73",,"89.0","71","170.0","3"
"USW00053963","2005-08-20T05:45:00","FM-15","343","72","73",,"94.0","72","180.0","3"
"USW00053963","2005-08-20T06:45:00","FM-15","343","72","77",,"83.0","74",,"0"
"USW00053963","2005-08-20T07:45:00","FM-15","343","73","81",,"79.0","75","190.0","6"
"USW00053963","2005-08-20T08:45:00","FM-15","343","73","84",,"70.0","76","200.0","7"
"USW00053963","2005-08-20T09:45:00","FM-15","343","73","88",,"62.0","77","230.0","7"
"USW00053963","2005-08-20T10:45:00","FM-15","343","72","90",,"55.0","77","VRB","8"
"USW00053963","2005-08-20T11:45:00","FM-15","343","70","91",,"49.0","76","230.0","7"
"USW00053963","2005-08-20T12:45:00","FM-15","343","70","95",,"44.0","77","230.0","5"
"USW00053963","2005-08-20T13:45:00","FM-15","343","70","95",,"44.0","77","230.0","3"
"USW00053963","2005-08-20T14:45:00","FM-15","343","68","97",,"39.0","77","210.0","5"
"USW00053963","2005-08-20T15:45:00","FM-15","343","66","97",,"37.0","76","230.0","6"
"USW00053963","2005-08-20T16:45:00","FM-15","343","64","97",,"34.0","75","220.0","6"
"USW00053963","2005-08-20T17:45:00","FM-15","343","66","95",,"39.0","75","210.0","3"
"USW00053963","2005-08-20T18:45:00","FM-15","343","68","90",,"49.0","75",,"0"
"USW00053963","2005-08-20T19:45:00","FM-15","343","70","86",,"59.0","75",,"0"
"USW00053963","2005-08-20T20:45:00","FM-15","343","70","82",,"66.0","74",,"0"
"USW00053963","2005-08-20T21:45:00","FM-15","343","70","81",,"70.0","74",,"0"
"USW00053963","2005-08-20T22:45:00","FM-15","343","70","82",,"66.0","74",,"0"
"USW00053963","2005-08-20T23:45:00","FM-15","343","70","79",,"74.0","73",,"0"
"USW00053963","2005-08-21T00:45:00","FM-15","343","70","77",,"79.0","72",,"0"
"USW00053963","2005-08-21T01:45:00","FM-15","343","70","75",,"83.0","72",,"0"
"USW00053963","2005-08-21T02:45:00","FM-15","343","70","77",,"79.0","72",,"0"
"USW00053963","2005-08-21T03:45:00","FM-15","343","70","75",,"83.0","72","320.0","3"
"USW00053963","2005-08-21T04:45:00","FM-15","343","70","73",,"89.0","71",,"0"
"USW00053963","2005-08-21T05:45:00","FM-15","343","70","72",,"94.0","71",,"0"
"USW00053963","2005-08-21T06:45:00","FM-15","343","72","73",,"94.0","72",,"0"
"USW00053963","2005-08-21T07:45:00","FM-15","343","72","81",,"74.0","75","310.0","3"
"USW00053963","2005-08-21T08:45:00","FM-15","343","72","86",,"62.0","76","340.0","5"
"USW00053963","2005-08-21T09:45:00","FM-15","343","72","88",,"59.0","77","360.0","6"
"USW00053963","2005-08-21T10:45:00","FM-15","343","70","90",,"52.0","76","260.0","5"
"USW00053963","2005-08-21T11:45:00","FM-15","343","68","93",,"44.0","76",,"0"
"USW00053963","2005-08-21T12:45:00","FM-15","343","68","95",,"41.0","76",,"0"
"USW00053963","2005-08-21T13:45:00","FM-15","343","68","95",,"41.0","76","210.0","5"
"USW00053963","2005-08-21T14:45:00","FM-15","343","64","97",,"34.0","75","190.0","6"
"USW00053963","2005-08-21T15:45:00","FM-15","343","66","97",,"37.0","76",,"0"
"USW00053963","2005-08-21T16:45:00","FM-15","343","68","97",,"39.0","77","290.0","5"
"USW00053963","2005-08-21T17:45:00","FM-15","343","68","95",,"41.0","76","310.0","3"
"USW00053963","2005-08-21T18:45:00","FM-15","343","70","90",,"52.0","76",,"0"
